"id_jednostki","sektor","klasa","pkd","woj","jedna_zmiana"
"7fddce081cbb1dd5da072e1683e9bfd20acab593",0,"D","P","30",FALSE
"3d40ca689a4dca7d774981dc7db408301bf7f192",0,"D","O","14",TRUE
"2b5a57b0c2f03c2b252e559bcd77d52789d33d9c",0,"D","O","04",TRUE
"f2b18f5ef4386e70206d64810b5d3b7e0654918b",0,"D","O","24",TRUE
"bf17263f8fa3a9ff12d7ff60c10c4e426aeeb36e",0,"D","O","04",TRUE
"10fe847b7d19284e9e310105c5acfaf8f1ccbc37",1,"D","C","28",FALSE
"c2676dd657f6d37a19598d734531e745a8972c8a",1,"D","H","22",FALSE
"33e3376df94d229b277b7a8aa672524a19da5da2",0,"D","P","32",TRUE
"29aed2d7f93f3a5c8e93a075bae0b68189feda89",0,"D","P","32",TRUE
"0b92c33b92191ef2afaf4ea5b997802c2db2bda8",0,"D","Q","10",FALSE
"5821095d261d8bcdbd51b2d41b728088b031adb9",0,"S","Q","24",FALSE
"de4e482d9e055a38d0d1e341dc3e040dfdd28ee5",0,"S","I","30",FALSE
"61523d285532e8b855c9ce4faa65a0e3fdc20a48",0,"D","P","20",TRUE
"d2318800e435084ce2efc66cff1f18a976b274fc",0,"D","Q","12",TRUE
"063cbe5caf278021ba19be0a32d95f6e20b2be45",0,"D","P","24",FALSE
"4a2fa576a7b148995dceb4e06835a921bd488376",0,"D","Q","08",TRUE
"54abbe414a0b7ae4ae250f0b9262fa2e3455ca8a",0,"D","Q","02",FALSE
"080536ed14610a8c3a7ce3853112e1f005126673",0,"D","Q","30",TRUE
"3f6022d0c4b81fddc86aa6682c60f7857503a53b",0,"D","Q","20",FALSE
"683dae4734f9801308bb1a44c93633c37583ab89",0,"D","Q","16",TRUE
"88c51ad5b8db632744667d3c2d1d61807c30facf",0,"D","Q","14",FALSE
"040939e86a0d725a53830bc6457f25107e4f6f3a",0,"D","Q","04",FALSE
"077eef427f8f408d68a77fca8d4113e51a82e8ab",0,"D","Q","14",TRUE
"bb2c4632406c71ebe352196bf6b82e545fd84675",0,"D","O","24",TRUE
"bf878a74e084551171e82f7ac0bc061928b67967",0,"D","Q","12",FALSE
"d34954b01a6646b13d397d78c393b951c2edccb4",0,"D","Q","10",FALSE
"5e37ec27e600c251e0f949443d4b1469ba01fb3f",0,"D","Q","26",FALSE
"b225bbaa1eea46c11998986184505c607ce1db43",0,"D","Q","16",FALSE
"e53008c651f512b5167b94760d3ced442ac42375",0,"D","O","02",FALSE
"3137b6d17e4fecc730a4bcf8d920c43b247019d0",0,"D","O","02",TRUE
"3f71e60381cef3486d6dd07866670b2c3a71ac1d",1,"D","G","18",FALSE
"fe34347301d33a7175c981efeb26cb030671787e",1,"D","G","18",FALSE
"5f9e46913b5ec03babb3de117c1d059b3c3b6090",1,"M","K.L","14",TRUE
"049d73e88e9315b84ba69a3b4d2bcb9e808002e0",1,"D","C","22",TRUE
"63bb1c4a068de8b0496340a1c1be1a4f186bd4b2",1,"D","C","10",TRUE
"89e1a4b6455bec3f8189e3d5f06a2985036f3f5d",1,"D","C","28",FALSE
"e462c2b827ceb729df0667f0f81c1314126ecdf3",1,"D","N","18",TRUE
"920f990ae05b4564b5a2a0e7dddecfd8f08e02a0",1,"D","K.L","22",TRUE
"349764d223f3a83a2f849402c814e4e05e67ed19",1,"D","K.L","22",TRUE
"798d3984a0c19395d3b0e6da901474615738f4a9",1,"D","K.L","18",FALSE
"881fbf86b527290ca802b62f77228947d3ccde39",1,"D","K.L","14",FALSE
"1372c40890898a3afbb650fc41513d1d68d925fc",1,"D","K.L","08",TRUE
"e81f6986075409b44f56c9447ae18a48fabbd5a0",1,"D","K.L","22",TRUE
"40dad897839d5102374ea326174ba7ec508b388d",0,"D","O","04",FALSE
"3996b82513464a3e1a1c2c5f5c832755aa7b809e",0,"D","O","32",FALSE
"f5546d689bdae4ddb664c2eace0de615f5f1fa84",0,"D","O","24",FALSE
"8b8783c74c3b0b318d00bd2bac919829b4fc7a60",0,"D","O","28",TRUE
"ce02c2c53b6f7e6df593227b621e5dc9bc8c0e75",0,"D","O","30",FALSE
"5acbb180ae810733eb00ee4a535f6a862d1ef7b3",0,"D","O","08",TRUE
"0e7d474646a2af45b6e97d6e1cebe21137d2b892",0,"D","Q","14",FALSE
"6cc6fe6b69d643e17b560fc74d9b7060e4b6e839",0,"D","M","24",TRUE
"97f87ae9e3323029ac392b35a0cf80e8e147bcbf",1,"D","C","12",FALSE
"6c6220e550f56ffc1d5e3a14dbee1dcc0d96de93",0,"D","O","16",TRUE
"778e5fc3c6132b3d154e1eb9f8efe3e19ff46be9",0,"D","O","14",TRUE
"f42d75f142d64da76b94edb274f41e5af4d9410a",0,"D","O","06",TRUE
"57335dd404bb2a7c53ca5328885945167eecbd4b",0,"D","O","04",FALSE
"991d6d38ac887f393d1566e474adcdd16ec1bbd3",0,"D","H","30",FALSE
"e983eab77dc45cf190658661cbdca360889a7368",0,"D","H","26",FALSE
"a4d3a43ce78cd4ffd18f280dbb2440bf2c09fbcc",1,"D","C","24",FALSE
"238e2578475607759061d55b19f42ca640a59937",0,"D","Q","14",FALSE
"0507ffdd65daf547131996f1ae46b9e583af3eab",0,"D","Q","24",FALSE
"39a5cf5749a71db82a61c4a381b53f554ba9b3ab",0,"D","P","28",TRUE
"23eb0a37452f81d7632fa3c3b2b1e623a944a361",0,"D","P","10",TRUE
"1efc605629c5285ca2c6591b6c3a8cd094494206",0,"D","P","14",TRUE
"cec4e6b454cd34efd3cd17bc912156e4ab1806f1",1,"D","K.L","22",TRUE
"cf156cf77f8f05599b09d73ebb3f43b8c48c61a4",1,"D","C","10",FALSE
"ce57e735dd1f99e4a6f6c99416239a46867913e1",1,"D","G","24",FALSE
"bcf5515600391da930b47735ab7369417aa64194",0,"D","Q","22",FALSE
"0096c8579c163af50d436a18d7ac448677668ac2",1,"D","G","12",FALSE
"9320003669acaa864adf27ce44bba30598a85090",1,"D","G","18",FALSE
"9173dabad8dbf2f86e2847e711034d0c60d75cdd",0,"D","N","04",TRUE
